"Stay","N","S","W","E","NW","NE","SW","SE","lon","lat"
0.4956,0,0.0264,0.4148,0.0592,0,0,0.0012,0.0028,-25.5,-73.5
0.4684,0,0.1016,0.422,0.0056,0,0,0.0016,8e-04,-24.5,-73.5
0.6072,0,0.0156,0.3664,0.0076,0,0,0.002,0.0012,-23.5,-73.5
0.6708,0,0.0428,0.286,0,0,0,4e-04,0,-22.5,-73.5
0.8132,0,0.0184,0.1608,0.0036,0,0,4e-04,0.0036,-21.5,-73.5
0.876,0,0.0412,0.082,8e-04,0,0,0,0,-20.5,-73.5
0.9352,0,0.0032,0.0584,0.0012,0,0,0.002,0,-19.5,-73.5
0.924,0,0.0312,0.044,0,0,0,8e-04,0,-18.5,-73.5
0.908979591836735,0,0.0608163265306122,0.0281632653061225,0.00122448979591837,0,0,0.000816326530612245,0,-17.5,-73.5
0.863728813559322,0,0,0.134237288135593,0.00203389830508475,0,0,0,0,-16.5,-73.5
0.867878787878788,0,0,0.132121212121212,0,0,0,0,0,-15.5,-73.5
0.9175,0,0,0.0825,0,0,0,0,0,-14.5,-73.5
0.985,0,0.015,0,0,0,0,0,0,166.5,-73.5
0.857931034482759,0,0,0.137931034482759,0,0,0,0.00413793103448276,0,167.5,-73.5
0.8304,0,0,0.168,0.0016,0,0,0,0,168.5,-73.5
0.87728813559322,0,0,0.115932203389831,0.00677966101694915,0,0,0,0,169.5,-73.5
0.8564,0.0036,0.0104,0.1252,0.0044,0,0,0,0,170.5,-73.5
0.8312,0.0208,4e-04,0.1376,0.0016,0.008,0,4e-04,0,171.5,-73.5
0.8528,4e-04,0,0.1468,0,0,0,0,0,172.5,-73.5
0.8324,0.0284,0,0.1364,4e-04,0.0024,0,0,0,173.5,-73.5
0.8452,0.0044,0,0.1356,0.008,0.0068,0,0,0,174.5,-73.5
0.8684,0.0016,0.0012,0.1244,0.0044,0,0,0,0,175.5,-73.5
0.8572,0,0.0016,0.1192,0.0216,0,0,4e-04,0,176.5,-73.5
0.8404,0,0,0.1248,0.0348,0,0,0,0,177.5,-73.5
0.86,0,0.0172,0.122,4e-04,0,0,4e-04,0,178.5,-73.5
0.8852,0,0,0.1148,0,0,0,0,0,179.5,-73.5
0.86,0,0,0.14,0,0,0,0,0,-179.5,-72.5
0.8836,0,0,0.1164,0,0,0,0,0,-178.5,-72.5
0.8932,0,0,0.1068,0,0,0,0,0,-177.5,-72.5
0.9024,0,0.0028,0.0948,0,0,0,0,0,-176.5,-72.5
0.9004,8e-04,0.0032,0.094,8e-04,0,0,8e-04,0,-175.5,-72.5
0.9044,0.0048,4e-04,0.084,0.006,0,0,4e-04,0,-174.5,-72.5
0.8864,4e-04,0.0408,0.0644,0.0068,0,0,4e-04,8e-04,-173.5,-72.5
